Gene,AUROC,Spearman,MSE,MAE
CTSK,0.696202939986752,0.380313560513334,0.5961689278483391,0.621445
CTSS,0.8132235631659385,0.5890118560180176,1.0256692804396152,0.7952342
CXCL1,0.7367580379224776,0.39818299086900283,0.4264193559065461,0.45347625
CXCL10,0.7057385876708124,0.3450658115403167,1.5616212952882051,0.8326701
CXCL12,0.6556272555095467,0.28981456409464623,0.632194809615612,0.62907284
CXCL13,0.6794635897985342,0.2641398879762865,0.29235562635585666,0.3436783
CXCL14,0.6141485249183234,0.2064650517384054,0.9932575263082981,0.75794196
CXCL2,0.7058053865303339,0.3688589862954629,0.49371711257845163,0.5208366
CXCL3,0.776085497958859,0.4648824423264177,0.5857176538556814,0.5320994
CXCL8,0.6976269374023901,0.3385093504695157,1.0921143740415573,0.74149066
CXCL9,0.6895962912851579,0.3193482653452726,1.1320049427449703,0.6868272
CXCR4,0.7104036121142807,0.40576208810185066,0.5576516836881638,0.60266113
CYC1,0.8707056168999475,0.6963061828564414,0.5384162850677967,0.59391636
CYP2S1,0.806144749777355,0.5142806507383791,0.35649379063397646,0.4138066
CYP3A5,0.8484665058376043,0.6293604384495758,0.33047820813953876,0.42769682
CYP51A1,0.8223707070390618,0.5965241010377014,0.392878420650959,0.47202367
CYSTM1,0.8396525188812638,0.6323127290897588,0.5881404504179955,0.61453265
DBI,0.8496397872431836,0.6660716783530423,0.41383886709809303,0.5152561
DCN,0.7182408566687756,0.4300554731596182,0.9977107718586922,0.80434066
DCTPP1,0.8447555221241191,0.6469037524380535,0.3820833396166563,0.47777614
DDAH1,0.8555334620878494,0.6655872576021141,0.4199216775596142,0.5164844
DDIT4,0.7632377710983317,0.5052076507586131,0.8439056500792503,0.7199446
DDR1,0.8691616373561916,0.690060450802225,0.7052566669881344,0.64017415
DDX21,0.8370679229118599,0.629159724935352,0.38489219546318054,0.49362737
DEGS2,0.834855739864487,0.5825983599143661,0.35232308227568865,0.41400912
DEPP1,0.6318718132100324,0.26496062866721914,0.5376965291798115,0.5915181
DERL3,0.6730263802581347,0.2580584134579946,0.20910081174224615,0.31041625
