Gene,AUROC,Spearman,MSE,MAE
CHDH,0.8464214931694137,0.6076680517750846,0.30700138211250305,0.41203916
CHEK1,0.8264226982396156,0.5468962017229168,0.28809338476922774,0.3901047
CHI3L1,0.6105442115151354,0.19277386334005847,0.7569122893942727,0.65843993
CHMP4C,0.8617285622634738,0.6411209518467809,0.3175833407375548,0.42152596
CHPF,0.8098577262156714,0.6079049758907638,0.5641040537092421,0.6079986
CHRDL2,0.728526248279154,0.36369988102254364,0.24440174632602268,0.33542156
CKB,0.7262946091831413,0.4426210384519977,2.0091353257497153,1.0845189
CKS2,0.8132432200656289,0.5085303243329302,0.37376803656419116,0.41045013
CLDN1,0.8385265449141734,0.5817156827595329,0.5222437447971768,0.52466416
CLDN2,0.8089988218596329,0.4996671289284323,0.6224365250931846,0.5576107
CLDN3,0.8770275129001304,0.6909918471234207,0.7036906911267174,0.65036255
CLDN4,0.8962758057371608,0.7340360709801915,0.8037013345294528,0.720963
CLDN5,0.5935773302607816,0.1708716520843433,0.25539449354012805,0.4144899
CLDN7,0.9078814099288698,0.7482617195368509,0.7555683420764076,0.6986396
CLIC4,0.7082748167256618,0.4165238142204172,0.7624363568094041,0.7119598
CLIC5,0.7942577386464209,0.5384862047646705,0.4792211138539844,0.51703
CLRN3,0.8392487089898041,0.586640190316979,0.3614312493138843,0.42982957
CLU,0.6249738626533982,0.23476580562930438,0.7526040143436856,0.6921303
CMBL,0.7832220437864412,0.5370628038348306,0.7082578092813492,0.64156735
CNN1,0.723912185397012,0.4572199624551959,0.7679455048508115,0.70218897
CNN3,0.7693806141923702,0.5279504891954853,0.6898186968432533,0.6587797
COL10A1,0.65183244521026,0.2541054652507021,0.5170383254686991,0.5565585
COL11A1,0.681844297141583,0.31788703188449374,0.8072860141595205,0.70501524
COL12A1,0.6546208608730438,0.3018170880468699,0.9147120051913791,0.77422464
COL14A1,0.6268866645511234,0.24785121954828881,0.7232870293988122,0.69832397
COL15A1,0.6538883566070356,0.29484927517195225,0.6707337962256538,0.6580945
COL16A1,0.6517049770114748,0.2931942894073949,0.5953625804848142,0.6301644
COL17A1,0.788186298093096,0.4980635841457638,0.3997309274143643,0.47484052
COL18A1,0.6609800268674787,0.32404468701987077,0.687621318631702,0.66952205
COL1A1,0.702987195210143,0.4184938022968677,2.004682607120938,1.1323388
COL1A2,0.7044445027144196,0.41986695606674523,1.7183745039833918,1.0468962
COL3A1,0.7122595361141081,0.4317069064096725,1.5077109734217327,0.97017163
COL4A1,0.6585408224418015,0.32714017755460545,1.024413526058197,0.8083133
COL4A2,0.6740726570287875,0.3581328439377145,0.8386222389009264,0.7287265
COL5A1,0.6992140223744081,0.39676129664521337,1.137356890572442,0.86013716
COL5A2,0.7065845411657562,0.4072832189845441,0.9487790001763238,0.7860036
COL6A1,0.6780391542925375,0.369140855546405,0.9540701376067268,0.7648238
COL6A2,0.7197866593399443,0.4488686845323179,1.066784421602885,0.811956
COL6A3,0.7101693783885837,0.4316337289999528,1.0844206280178494,0.8201546
COL8A1,0.6541040888182956,0.28612279981058286,0.6497558255990347,0.6565147
COMP,0.646661338608316,0.2836104647360466,1.1766441928015814,0.85685456
CORO2A,0.828945866976664,0.5775188342821368,0.32831650806797874,0.41669762
COX6A1,0.8669664590043191,0.6903028306231738,0.6879057354397244,0.6630776
CPE,0.5630279930301684,0.1196074681932171,0.5410800774892172,0.6119298
CRABP1,0.5207930070527133,0.01739626353105389,0.038467052289181285,0.07526213
CRACR2B,0.8670284931585279,0.662896276198925,0.40956868562433457,0.49293926
CRB3,0.8579008886627982,0.6335731678588706,0.2857327577140596,0.40512645
CREB3L1,0.7554868320400293,0.4775524055041378,0.7793927424483829,0.70155776
CRIP1,0.7802191063174073,0.5469026951980773,1.052348832289378,0.8282009
CRISPLD2,0.6603535625048617,0.3187087992629759,0.5661036736435361,0.6168762
CRYAB,0.6971783223990757,0.37951893191897895,0.5078840653101603,0.57794416
CRYBG1,0.8621599919235873,0.6823031010918668,0.3970569173494975,0.50747323
