Gene,AUROC,Spearman,MSE,MAE
CHMP4C,0.8700266968968074,0.6566673030801792,0.2981245385275947,0.40356743
CHPF,0.8203952116414026,0.6277496775699226,0.460544486840566,0.5483653
CHRDL2,0.7506988068370251,0.3992119380681443,0.22735121680630577,0.33457243
CKB,0.7703454987151656,0.5332767548998897,1.7072637842761145,0.9845437
CKS2,0.8146922330310683,0.5111211590586763,0.31742260770665276,0.37841475
CLDN1,0.8485632837568351,0.5959070393980019,0.42996086262994343,0.46518457
CLDN2,0.8127341527573468,0.5002242557632033,0.5213086919652091,0.4997103
CLDN3,0.8891800448064993,0.7115069859013422,0.7377133667469025,0.6562846
CLDN4,0.9110770157774982,0.7612005873851465,0.7165225744247437,0.67350984
CLDN5,0.6311823453174247,0.2348475080864347,0.24087428053220114,0.3941752
CLDN7,0.9214802176917735,0.7787012096085361,0.6049840682082706,0.6150553
CLIC4,0.7315817615423874,0.4642485156635661,0.6034326752026876,0.6271411
CLIC5,0.8077120539077829,0.5609258341302057,0.5002013693253199,0.5255074
CLRN3,0.8527816634359554,0.6105292144244578,0.340969850619634,0.4105027
CLU,0.6542319000501586,0.3027434312313553,0.7209244767824808,0.67308533
CMBL,0.8022300414385364,0.5682641094540505,0.5814795659648048,0.58881336
CNN1,0.7616438396893433,0.521641923049366,0.5744062198532952,0.5993502
CNN3,0.792066912206086,0.5720730440135546,0.5491259495417277,0.5881517
COL10A1,0.7361517131554811,0.39210673793778716,0.3936677235696051,0.46944794
COL11A1,0.7577635543503956,0.45436555986536525,0.5674128383398056,0.57313055
COL12A1,0.7191426966858816,0.4270640123596391,0.6699206299251981,0.64990896
COL14A1,0.6454226765260107,0.28406904206796424,0.6974196765157912,0.67791843
COL15A1,0.6902570078913265,0.37007813997031347,0.5470883432361815,0.58554673
COL16A1,0.7020842295764049,0.38772347660772005,0.43472319344679516,0.5355883
COL17A1,0.821308249776058,0.5569404782395008,0.3448674546347724,0.4411835
COL18A1,0.702632235884048,0.4112114516175382,0.5710038509633806,0.60945344
COL1A1,0.7711124661598086,0.5537621029813236,1.433564994070265,0.9422741
COL1A2,0.7747657973104606,0.5576142496608198,1.1843932933277554,0.856224
COL3A1,0.7757827863372895,0.55674307698793,1.1340567138459947,0.8212266
COL4A1,0.7091114296641724,0.4340250638363219,0.8081889483663771,0.7136988
COL4A2,0.722844793637279,0.46119255457497477,0.6968127886454264,0.6653635
COL5A1,0.7629794306409933,0.51623948917225,0.772139330705007,0.69822997
COL5A2,0.7640829379580679,0.5221083608823645,0.6582227249940237,0.645426
COL6A1,0.7129080339625188,0.4469601131641335,0.8365157842636108,0.7066475
COL6A2,0.7584165707716433,0.5310717430420737,0.7622961865531074,0.6876128
COL6A3,0.7695622484070094,0.547393632942364,0.8173042469554477,0.71337193
